,country,sig_date,asr_date
0,Afghanistan,,24 Jan	 1983 a
1,Albania,,4 Oct	 1991 a
2,Algeria,10 Dec	 1968,12 Sep	 1989
3,Andorra,5 Aug	 2002,22 Sep	 2006
4,Angola,,10 Jan	 1992 a
5,Argentina,19 Feb	 1968,8 Aug	 1986
6,Armenia,,23 Jun	 1993 a
7,Australia,18 Dec	 1972,13 Aug	 1980
8,Austria,10 Dec	 1973,10 Sep	 1978
9,Azerbaijan,,13 Aug	 1992 a
10,Bahamas,4 Dec	 2008,23 Dec	 2008
11,Bahrain,,20 Sep	 2006 a
12,Bangladesh,,6 Sep	 2000 a
13,Barbados,,5 Jan	 1973 a
14,Belarus,19 Mar	 1968,12 Nov	 1973
15,Belgium,10 Dec	 1968,21 Apr	 1983
16,Belize,,10 Jun	 1996 a
17,Benin,,12 Mar	 1992 a
18,Bolivia (Plurinational State of),,12 Aug	 1982 a
19,Bosnia and Herzegovina1,,1 Sep	 1993 d
20,Botswana,8 Sep	 2000,8 Sep	 2000
21,Brazil,,24 Jan	 1992 a
22,Bulgaria,8 Oct	 1968,21 Sep	 1970
23,Burkina Faso,,4 Jan	 1999 a
24,Burundi,,9 May	 1990 a
25,"Cambodia2,3",17 Oct	 1980,26 May	 1992 a
26,Cameroon,,27 Jun	 1984 a
27,Canada,,19 May	 1976 a
28,Cape Verde,,6 Aug	 1993 a
29,Central African Republic,,8 May	 1981 a
30,Chad,,9 Jun	 1995 a
31,Chile,16 Sep	 1969,10 Feb	 1972
32,"China4,5,6",5 Oct	 1998,
33,Colombia,21 Dec	 1966,29 Oct	 1969
34,Comoros,25 Sep	 2008,
35,Congo,,5 Oct	 1983 a
36,Costa Rica,19 Dec	 1966,29 Nov	 1968
37,Cte d'Ivoire,,26 Mar	 1992 a
38,Croatia1,,12 Oct	 1992 d
39,Cuba,28 Feb	 2008,
40,Cyprus,19 Dec	 1966,2 Apr	 1969
41,Czech Republic7,,22 Feb	 1993 d
42,Democratic People's Republic of Korea8,,14 Sep	 1981 a
43,Democratic Republic of the Congo,,1 Nov	 1976 a
44,Denmark,20 Mar	 1968,6 Jan	 1972
45,Djibouti,,5 Nov	 2002 a
46,Dominica,,17 Jun	 1993 a
47,Dominican Republic,,4 Jan	 1978 a
48,Ecuador,4 Apr	 1968,6 Mar	 1969
49,Egypt,4 Aug	 1967,14 Jan	 1982
50,El Salvador,21 Sep	 1967,30 Nov	 1979
51,Equatorial Guinea,,25 Sep	 1987 a
52,Eritrea,,22 Jan	 2002 a
53,Estonia,,21 Oct	 1991 a
54,Ethiopia,,11 Jun	 1993 a
55,Finland,11 Oct	 1967,19 Aug	 1975
56,France,,4 Nov	 1980 a
57,Gabon,,21 Jan	 1983 a
58,Gambia,,22 Mar	 1979 a
59,Georgia,,3 May	 1994 a
60,"Germany9,10",9 Oct	 1968,17 Dec	 1973
61,Ghana,7 Sep	 2000,7 Sep	 2000
62,Greece,,5 May	 1997 a
63,Grenada,,6 Sep	 1991 a
64,Guatemala,,5 May	 1992 a
65,Guinea,28 Feb	 1967,24 Jan	 1978
66,Guinea-Bissau,12 Sep	 2000,1 Nov	 2010
67,Guyana,22 Aug	 1968,15 Feb	 1977
68,Haiti,,6 Feb	 1991 a
69,Honduras,19 Dec	 1966,25 Aug	 1997
70,Hungary,25 Mar	 1969,17 Jan	 1974
71,Iceland,30 Dec	 1968,22 Aug	 1979
72,India,,10 Apr	 1979 a
73,Indonesia,,23 Feb	 2006 a
74,Iran (Islamic Republic of),4 Apr	 1968,24 Jun	 1975
75,Iraq,18 Feb	 1969,25 Jan	 1971
76,Ireland,1 Oct	 1973,8 Dec	 1989
77,Israel,19 Dec	 1966,3 Oct	 1991
78,Italy,18 Jan	 1967,15 Sep	 1978
79,Jamaica,19 Dec	 1966,3 Oct	 1975
80,Japan,30 May	 1978,21 Jun	 1979
81,Jordan,30 Jun	 1972,28 May	 1975
82,Kazakhstan,2 Dec	 2003,24 Jan	 2006
83,Kenya,,1 May	 1972 a
84,Kuwait,,21 May	 1996 a
85,Kyrgyzstan,,7 Oct	 1994 a
86,Lao People's Democratic Republic,7 Dec	 2000,25 Sep	 2009
87,Latvia,,14 Apr	 1992 a
88,Lebanon,,3 Nov	 1972 a
89,Lesotho,,9 Sep	 1992 a
90,Liberia,18 Apr	 1967,22 Sep	 2004
91,Libya,,15 May	 1970 a
92,Liechtenstein,,10 Dec	 1998 a
93,Lithuania,,20 Nov	 1991 a
94,Luxembourg,26 Nov	 1974,18 Aug	 1983
95,Madagascar,17 Sep	 1969,21 Jun	 1971
96,Malawi,,22 Dec	 1993 a
97,Maldives,,19 Sep	 2006 a
98,Mali,,16 Jul	 1974 a
99,Malta,,13 Sep	 1990 a
100,Mauritania,,17 Nov	 2004 a
101,Mauritius,,12 Dec	 1973 a
102,Mexico,,23 Mar	 1981 a
103,Monaco,26 Jun	 1997,28 Aug	 1997
104,Mongolia,5 Jun	 1968,18 Nov	 1974
105,Montenegro11,,23 Oct	 2006 d
106,Morocco,19 Jan	 1977,3 May	 1979
107,Mozambique,,21 Jul	 1993 a
108,Namibia,,28 Nov	 1994 a
109,Nauru,12 Nov	 2001,
110,Nepal,,14 May	 1991 a
111,Netherlands,25 Jun	 1969,11 Dec	 1978
112,New Zealand12,12 Nov	 1968,28 Dec	 1978
113,Nicaragua,,12 Mar	 1980 a
114,Niger,,7 Mar	 1986 a
115,Nigeria,,29 Jul	 1993 a
116,Norway,20 Mar	 1968,13 Sep	 1972
117,Pakistan,17 Apr	 2008,23 Jun	 2010
118,Palau,20 Sep	 2011,
119,Panama,27 Jul	 1976,8 Mar	 1977
120,Papua New Guinea,,21 Jul	 2008 a
121,Paraguay,,10 Jun	 1992 a
122,Peru,11 Aug	 1977,28 Apr	 1978
123,Philippines,19 Dec	 1966,23 Oct	 1986
124,Poland,2 Mar	 1967,18 Mar	 1977
125,Portugal4,7 Oct	 1976,15 Jun	 1978
126,Republic of Korea,,10 Apr	 1990 a
127,Republic of Moldova,,26 Jan	 1993 a
128,Romania,27 Jun	 1968,9 Dec	 1974
129,Russian Federation,18 Mar	 1968,16 Oct	 1973
130,Rwanda,,16 Apr	 1975 a
131,Samoa,,15 Feb	 2008 a
132,San Marino,,18 Oct	 1985 a
133,Sao Tome and Principe,31 Oct	 1995,
134,Senegal,6 Jul	 1970,13 Feb	 1978
135,Serbia1,,12 Mar	 2001 d
136,Seychelles,,5 May	 1992 a
137,Sierra Leone,,23 Aug	 1996 a
138,Slovakia7,,28 May	 1993 d
139,Slovenia1,,6 Jul	 1992 d
140,Somalia,,24 Jan	 1990 a
141,South Africa,3 Oct	 1994,10 Dec	 1998
142,Spain,28 Sep	 1976,27 Apr	 1977
143,Sri Lanka,,11 Jun	 1980 a
144,St. Lucia,22 Sep	 2011,
145,St. Vincent and the Grenadines,,9 Nov	 1981 a
146,Sudan,,18 Mar	 1986 a
147,Suriname,,28 Dec	 1976 a
148,Swaziland,,26 Mar	 2004 a
149,Sweden,29 Sep	 1967,6 Dec	 1971
150,Switzerland,,18 Jun	 1992 a
151,Syrian Arab Republic,,21 Apr	 1969 a
152,Tajikistan,,4 Jan	 1999 a
153,Thailand,,29 Oct	 1996 a
154,The former Yugoslav Republic of Macedonia1,,18 Jan	 1994 d
155,Timor-Leste,,18 Sep	 2003 a
156,Togo,,24 May	 1984 a
157,Trinidad and Tobago,,21 Dec	 1978 a
158,Tunisia,30 Apr	 1968,18 Mar	 1969
159,Turkey,15 Aug	 2000,23 Sep	 2003
160,Turkmenistan,,1 May	 1997 a
161,Uganda,,21 Jun	 1995 a
162,Ukraine,20 Mar	 1968,12 Nov	 1973
163,United Kingdom of Great Britain and Northern Ireland6,16 Sep	 1968,20 May	 1976
164,United Republic of Tanzania,,11 Jun	 1976 a
165,United States of America,5 Oct	 1977,8 Jun	 1992
166,Uruguay,21 Feb	 1967,1 Apr	 1970
167,Uzbekistan,,28 Sep	 1995 a
168,Vanuatu,29 Nov	 2007,21 Nov	 2008
169,Venezuela (Bolivarian Republic of),24 Jun	 1969,10 May	 1978
170,Viet Nam,,24 Sep	 1982 a
171,Yemen,,9 Feb	 1987 a
172,Zambia,,10 Apr	 1984 a
173,Zimbabwe,,13 May	 1991 a
